STABBR,POP
AK,730443
AL,4815588
AR,2952164
AZ,6554978
CA,37948800
CO,5192647
CT,3594547
DC,634924
DE,915179
FL,19297822
GA,9901430
HI,1394804
IA,3076190
ID,1595324
IL,12882510
IN,6537703
KS,2885257
KY,4386346
LA,4600972
MA,6663005
MD,5886992
ME,1327729
MI,9897145
MN,5376643
MO,6024367
MS,2983816
MT,1003783
NC,9749476
ND,701176
NE,1853303
NH,1324232
NJ,8844942
NM,2087309
NV,2743996
NY,19572932
OH,11548923
OK,3818814
OR,3899001
PA,12767118
RI,1054621
SC,4717354
SD,833566
TN,6453898
TX,26084481
UT,2853375
VA,8185080
VT,626090
WA,6897058
WI,5719960
WV,1856872
WY,576305

